signal,holding_period,direction,p_value,p_value_less,null_mean,null_se,observed_mean,excess_vs_rotation,n_offsets,n_trades,p_adj,reject,beats_rotation_null,p_value_two_sided,p_adj_two_sided,loses_to_rotation_null
smc_internal_bos_bullish,1,1,0.9874183401887249,0.012823614807645777,0.0007248597669750537,0.0002765260117341444,0.0001975344436237375,-0.0005273253233513161,4132,32002,1.0,False,False,0.025647229615291554,0.10030916471758475,False
smc_internal_choch_bearish,1,-1,0.18291797725623035,0.8173239777401403,-0.0007284818893646325,0.00035617093151325987,-0.0004387094472214857,0.0002897724421431468,4132,26383,1.0,False,False,0.3658359545124607,0.5672874713144765,False
smc_internal_choch_bullish,1,1,0.6968303895475442,0.3034115654488265,0.0007090920640581447,0.00033238605147080727,0.0005798115533894192,-0.00012928051066872547,4132,26486,1.0,False,False,0.606823130897653,0.7739193553477315,False
smc_internal_ob_bearish_formed,1,-1,0.3452697798209533,0.6549721751754174,-0.0007277572941895375,0.00032993505951087296,-0.0006088936245182022,0.00011886366967133529,4132,42989,1.0,False,False,0.6905395596419066,0.8259200118221263,False
smc_internal_ob_bearish_mitigated,1,1,0.7732881684006775,0.2269537865956932,0.0007118639947460336,0.00026063886166351153,0.0005537447490944041,-0.00015811924565162943,4132,38234,1.0,False,False,0.4539075731913864,0.6541061224489796,False
smc_internal_ob_bullish_formed,1,1,0.9571739656423905,0.04306798935398016,0.0007177098351944482,0.00022422604743905906,0.0003706467321146048,-0.0003470631030798434,4132,58488,1.0,False,False,0.08613597870796032,0.23647257735518365,False
smc_internal_ob_bullish_mitigated,1,-1,0.8761190418582143,0.12412291313815631,-0.0007257940443914343,0.00042712748924336947,-0.0011472010078525433,-0.000421406963461109,4132,39699,1.0,False,False,0.24824582627631261,0.47233800459060565,False
smc_swing_bos_bearish,1,-1,0.8695862569562062,0.13065569804016453,-0.0007001473973649818,0.0009689364382758611,-0.0016610563989402757,-0.000960909001575294,4132,1249,1.0,False,False,0.26131139608032905,0.48667519269987203,False
smc_swing_bos_bullish,1,1,0.4829421727558674,0.5172997822405032,0.0007214608882242813,0.0004059025255675345,0.0007269531645506251,5.492276326343813e-06,4132,4581,1.0,False,False,0.9658843455117349,0.9798019873778981,False
smc_swing_choch_bearish,1,-1,0.9995160900072586,0.0007258649891120251,-0.000722551307116265,0.0008322571261308157,-0.004019503330656095,-0.0032969520235398304,4132,2661,1.0,False,False,0.0014517299782240503,0.01643835616438356,True
smc_swing_choch_bullish,1,1,0.26881200096782,0.7314299540285507,0.0006975288926670874,0.000606032016537468,0.0010300576168272534,0.000332528724160166,4132,2710,1.0,False,False,0.53762400193564,0.7290200210748156,False
smc_swing_ob_bearish_formed,1,-1,0.9997580450036293,0.0004839099927413501,-0.0007155508515502513,0.0007469931010149826,-0.003266127315895722,-0.0025505764643454706,4132,3910,1.0,False,False,0.0009678199854827002,0.012860209161072292,True
smc_swing_ob_bearish_mitigated,1,1,0.8608758770868619,0.13936607790950883,0.0007013244336275975,0.000531273838362048,0.00017985426958806809,-0.0005214701640395294,4132,3365,1.0,False,False,0.27873215581901767,0.4955238325671425,False
smc_swing_ob_bullish_formed,1,1,0.3251875151221873,0.6750544398741835,0.0007124952607423633,0.00037996291945765755,0.0008396143997268235,0.0001271191389844602,4132,7291,1.0,False,False,0.6503750302443746,0.8004615756853841,False
smc_swing_ob_bullish_mitigated,1,-1,0.9997580450036293,0.0004839099927413501,-0.0007074659469346092,0.001075343191236726,-0.005901335899221508,-0.005193869952286899,4132,3415,1.0,False,False,0.0009678199854827002,0.012860209161072292,True
ict_bos_bearish,2,-1,0.42023723069474705,0.5800048414427499,-0.0014402558013455113,0.0007070042771338354,-0.0013672728059216431,7.29829954238682e-05,4130,42603,1.0,False,False,0.8404744613894941,0.9012213265058989,False
ict_bos_bullish,2,1,0.9975792786250303,0.002662793512466715,0.001432014292347868,0.00046422458827738373,0.000483393934468771,-0.0009486203578790971,4130,80881,1.0,False,False,0.00532558702493343,0.037637910085054675,True
ict_bpr_bearish,2,-1,0.8211086903897361,0.17913338174776083,-0.001458745483009022,0.0005872606603049516,-0.0019527294687595592,-0.0004939839857505373,4130,26231,1.0,False,False,0.35826676349552167,0.5666133333333333,False
ict_bpr_bullish,2,1,0.7453401113531832,0.2549019607843137,0.0014260415834738112,0.0005931153261554035,0.0011274988688716756,-0.00029854271460213566,4130,26886,1.0,False,False,0.5098039215686274,0.7064999228037672,False
ict_displacement_bearish,2,-1,0.9310094408133623,0.0692326313241346,-0.0014404477516845485,0.00028774444001951517,-0.001863051039647906,-0.0004226032879633575,4130,190874,1.0,False,False,0.1384652626482692,0.3124344387960946,False
ict_displacement_bullish,2,1,0.9678044057129025,0.03243766642459453,0.0014309340129514466,0.0002452817807703123,0.0009749583916151238,-0.00045597562133632274,4130,212897,1.0,False,False,0.06487533284918906,0.19302405893864394,False
ict_fvg_bearish_formed,2,-1,0.8288549987896393,0.17138707334785766,-0.0014473210910170994,0.0004548732827125421,-0.0018876112439183523,-0.00044029015290125294,4130,90914,1.0,False,False,0.3427741466957153,0.5560207356538792,False
ict_fvg_bullish_formed,2,1,0.9665940450254176,0.0336480271120794,0.0014334858732089738,0.00034393011733104483,0.0008017366246572218,-0.000631749248551752,4130,112422,1.0,False,False,0.0672960542241588,0.19607059607059607,False
ict_liquidity_buyside_pool_formed,2,1,0.8896151053013798,0.11062696683611717,0.00138309388548571,0.00044926224639288805,0.0010199758712627891,-0.00036311801422292097,4130,59080,1.0,False,False,0.22125393367223434,0.4288478310456332,False
ict_liquidity_buyside_swept,2,1,0.8610505930767368,0.1391914790607601,0.0013763215406022542,0.0003834235279454207,0.0010686579792043949,-0.0003076635613978593,4130,44366,1.0,False,False,0.2783829581215202,0.4955238325671425,False
ict_liquidity_sellside_pool_formed,2,-1,0.9523117889130961,0.04793028322440087,-0.001395640725362981,0.0005707825603722093,-0.0020474384410204202,-0.0006517977156574393,4130,51775,1.0,False,False,0.09586056644880174,0.24810970139689864,False
ict_liquidity_sellside_swept,2,-1,0.2747518760590656,0.7254901960784313,-0.001406991200619587,0.0005235077475644968,-0.0011880869523815565,0.0002189042482380304,4130,32979,1.0,False,False,0.5495037521181312,0.7311930502459544,False
ict_mss_bearish,2,-1,0.22173807794722827,0.7785039941902687,-0.0014443206443631323,0.0005701326225235191,-0.0010744829598333117,0.00036983768452982066,4130,36626,1.0,False,False,0.44347615589445655,0.644365522295507,False
ict_mss_bullish,2,1,0.8753328491890583,0.12490922294843863,0.001409814923749663,0.0005814828056641025,0.0009511064527096308,-0.00045870847104003223,4130,36599,1.0,False,False,0.24981844589687727,0.4727746933102193,False
ict_nwog_gap_down,2,-1,0.7959331880900509,0.20430888404744613,-0.0014299832176565817,0.0006518054276057699,-0.0019872296441366395,-0.0005572464264800578,4130,131146,1.0,False,False,0.40861776809489225,0.6103693428125542,False
ict_nwog_gap_up,2,1,0.18082788671023964,0.8194141854272573,0.0014338351889909414,0.0005934649936299483,0.001962497720758497,0.0005286625317675554,4130,147587,1.0,False,False,0.3616557734204793,0.5666133333333333,False
ict_ob_bearish_formed,2,-1,0.08254659888646816,0.9176954732510288,-0.0014374039798113513,0.0006579773511965136,-0.0006442998425202752,0.0007931041372910761,4130,22492,1.0,False,False,0.16509319777293632,0.34184003303572696,False
ict_ob_bearish_mitigated,2,1,0.7782619220527717,0.22198015008472524,0.0014024904506835642,0.0005354248694688588,0.001083802763570124,-0.00031868768711344015,4130,20174,1.0,False,False,0.4439603001694505,0.644365522295507,False
ict_ob_bullish_formed,2,1,0.9779714354877753,0.022270636649721617,0.0014211510619774562,0.00040316016208528135,0.0007193893121859946,-0.0007017617497914616,4130,32596,1.0,False,False,0.04454127329944323,0.15221872040198076,False
ict_ob_bullish_mitigated,2,-1,0.27523602033405953,0.7250060518034375,-0.0014334665865896681,0.000938730338134241,-0.00101189252431047,0.00042157406227919816,4130,20603,1.0,False,False,0.5504720406681191,0.7311930502459544,False
ict_sweep_buyside_bearish,2,-1,0.5814572742677317,0.4187847978697652,-0.0014277012962549364,0.0003969545140990424,-0.0014672901717213574,-3.958887546642105e-05,4130,65600,1.0,False,False,0.8375695957395304,0.9012213265058989,False
ict_sweep_sellside_bullish,2,1,0.17138707334785766,0.8288549987896393,0.0014044329848749617,0.0006147548089187325,0.0018074027566634492,0.0004029697717884875,4130,49436,1.0,False,False,0.3427741466957153,0.5560207356538792,False
ict_volume_imbalance_bearish,2,-1,0.9569111595255386,0.043330912611958365,-0.0014330843229336924,0.0004001634873395287,-0.002111240840378663,-0.0006781565174449704,4130,84868,1.0,False,False,0.08666182522391673,0.23647257735518365,False
ict_volume_imbalance_bullish,2,1,0.9987896393125151,0.0014524328249818446,0.0014123990379805195,0.0003053813442485289,0.0004031734041444178,-0.0010092256338361018,4130,117767,1.0,False,False,0.002904865649963689,0.02565987303708654,True
smc_equal_highs,2,-1,0.8506414911643669,0.14960058097313,-0.0014100899457355417,0.0004663707205112539,-0.0018153385535769771,-0.00040524860784143537,4130,10504,1.0,False,False,0.29920116194626,0.5124106640489388,False
smc_equal_lows,2,1,0.3982086661825224,0.6020334059549746,0.001403068650143605,0.0005690639664751671,0.0015259499050975154,0.00012288125495391045,4130,9360,1.0,False,False,0.7964173323650448,0.8871484208623284,False
smc_fvg_bearish_formed,2,-1,0.9607843137254902,0.03945775841200678,-0.0014211397259276763,0.0005558470884025305,-0.002355199150076273,-0.0009340594241485968,4130,67869,1.0,False,False,0.07891551682401356,0.22401824130687717,False
smc_fvg_bullish_formed,2,1,0.8673444686516582,0.1328976034858388,0.0013990834736348453,0.0004474386813995447,0.000928900498118636,-0.00047018297551620924,4130,68247,1.0,False,False,0.2657952069716776,0.4872912127814089,False
