signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len,ict.displacement_perc_body,ict.sweep_penetration_atr,smc.swing_len,smc.internal_len,draw
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_ob_bearish_formed,1989,-0.009509129135749356,-0.002527047990408175,0.9649554761577679,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_ob_bearish_mitigated,1761,0.005350798980825447,-0.0016489211235098961,0.8681219768637863,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_ob_bullish_formed,2755,0.0036039966314986333,-0.003368016542014535,0.9981980160726447,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_ob_bullish_mitigated,1810,-0.00914119485372356,-0.002294595438407347,0.9430194756581142,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_sweep_buyside_bearish,3262,-0.006455400629262887,0.00037052170803530526,0.36179284195142236,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_sweep_sellside_bullish,2472,0.00898718169517937,0.0021148295292517374,0.0414092890330608,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_bos_bearish,484,-0.012576554276016356,-0.005546572411635335,0.9693883191502701,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_bos_bullish,1061,0.0035733547883472325,-0.003434656115952213,0.9674231338718482,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_choch_bearish,877,-0.0053190361761552,0.0016586155573148622,0.21270732094817274,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_choch_bullish,874,0.0055958957050262,-0.001395004224616375,0.74819900488415,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_ob_bearish_formed,1361,-0.007899961055165338,-0.0009036996351699991,0.7024382000916859,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_ob_bearish_mitigated,1349,0.007507114991014495,0.0005124783112201107,0.3820479119658322,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_ob_bullish_formed,1935,0.0044868952334001615,-0.0025133869929405738,0.9653431586082325,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_internal_ob_bullish_mitigated,1811,-0.00673214180243992,0.00023390017849603435,0.43528219088645675,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_bos_bearish,70,0.0027823226692191253,0.009861443995324286,0.11759070471168287,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_bos_bullish,281,0.011476173443447122,0.004376427026506512,0.10834330518417296,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_choch_bearish,170,0.002750400883971509,0.009562901453292093,0.020939596591284967,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_choch_bullish,167,0.0047504336889417405,-0.0020741305241671684,0.6685679086441358,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_ob_bearish_formed,240,0.0027597114046687297,0.009649976361384817,0.00951856201891983,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_ob_bearish_mitigated,236,0.005795255246809667,-0.0010982895014540724,0.6043142693270166,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_ob_bullish_formed,448,0.008969033847459623,0.001971866510965206,0.24378667286305938,7,9,0.12594414903070453,0.3751542930284718,49,10,1
smc_swing_ob_bullish_mitigated,419,-0.010052037230367902,-0.0031270614291244794,0.8561596323479737,7,9,0.12594414903070453,0.3751542930284718,49,10,1
ict_bos_bearish,2048,-0.014321402531613098,-0.007302617694360167,0.9999998924409116,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_bos_bullish,4348,0.0034306738750258044,-0.003506400150135459,0.9999549907161729,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_bpr_bearish,2269,-0.00699987312952193,-4.408041619662507e-05,0.5136590372507096,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_bpr_bullish,2327,0.004300780505841877,-0.0027484383749299375,0.9841398441245188,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_displacement_bearish,16393,-0.008431591829859805,-0.0015124599691339223,0.9996554560403794,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_displacement_bullish,17917,0.0048869591534450784,-0.002067414207718059,0.9999995616336684,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_fvg_bearish_formed,7209,-0.00880307691144814,-0.0018636186646395197,0.9957995606854363,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_fvg_bullish_formed,8856,0.004402746488928716,-0.0025717242364259613,0.9999799700837447,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_liquidity_buyside_pool_formed,1633,0.00804936999791733,0.0014638013753412059,0.15703139214808903,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_liquidity_buyside_swept,1325,0.006706632773258647,8.817566920513598e-05,0.4782644637891893,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_liquidity_sellside_pool_formed,1367,-0.00751828482506984,-0.000819052074751042,0.688798605203903,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_liquidity_sellside_swept,937,-0.00993937471478147,-0.003278887687266651,0.9465567456957119,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_mss_bearish,1514,-0.008494407524207895,-0.0015281474349134226,0.8338061452284771,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_mss_bullish,1522,0.004686225827499098,-0.0022864213642899596,0.926912190569281,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_ob_bearish_formed,541,-0.004492345959966675,0.0024657163134972158,0.18233964601819008,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_ob_bearish_mitigated,488,0.007301574094904276,0.00035052851270908625,0.45100138653812427,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_ob_bullish_formed,872,0.003571171191169867,-0.003437465894846452,0.953713497714191,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_ob_bullish_mitigated,482,-0.010947774508449866,-0.004141606680694329,0.9276144155676831,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_sweep_buyside_bearish,2596,-0.006132040425166814,0.0006758216911209652,0.28282307050025546,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_sweep_sellside_bullish,1966,0.00904935746177122,0.002136772150576445,0.061377254071597886,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_bos_bearish,763,-0.014638819703540966,-0.007609597928690337,0.9994843039219694,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_bos_bullish,1490,0.002138868795323627,-0.004844169836757291,0.9989390298149442,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_choch_bearish,1206,-0.006642670624411761,0.0003084708903343617,0.4308231831930252,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_choch_bullish,1211,0.006049629767949763,-0.0008948549894665326,0.6938576833488688,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_ob_bearish_formed,1969,-0.009741229155328766,-0.0027598310441074086,0.9754849578060436,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_ob_bearish_mitigated,1949,0.008691467733841525,0.0017079160470364696,0.11281394760869673,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_ob_bullish_formed,2701,0.0038922681058938795,-0.003073484801559544,0.9957100819953169,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_internal_ob_bullish_mitigated,2524,-0.006258610777842328,0.0006677173633998701,0.29081995856701565,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_bos_bearish,113,0.0077654087890605345,0.014835273216446766,0.009676084963412705,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_bos_bullish,380,0.007965929521222477,0.000962478164830265,0.3747496191545271,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_choch_bearish,243,-0.0015188274505978636,0.0053591575575285925,0.08806887398366009,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_choch_bullish,247,0.006359276510404575,-0.0005691693335666929,0.5572223830643965,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_ob_bearish_formed,356,0.0014281351760352789,0.008367025730162729,0.0065046536491752726,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_ob_bearish_mitigated,351,0.007247170464988779,0.00029627848960146405,0.4652224867617583,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_ob_bullish_formed,627,0.007333005607869971,0.00035910187758297733,0.4404799208943977,24,10,0.5569602429339984,0.5153889035335336,35,7,2
smc_swing_ob_bullish_mitigated,586,-0.00961882859988546,-0.00272056061521738,0.8632633938591932,24,10,0.5569602429339984,0.5153889035335336,35,7,2
ict_bos_bearish,2418,-0.013180939606898315,-0.006195480659937258,0.9999993573030974,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_bos_bullish,4741,0.0033322613923233413,-0.0036211828642135203,0.9999875657684271,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_bpr_bearish,2363,-0.0077035749132360444,-0.0007582335734928744,0.7263416605367911,25,6,0.594096369791427,0.3086825371587365,47,13,3
