signal,n_trades_train,mean_return_train,matched_null_mean_train,excess_return_train,p_value_train,n_trades_test,mean_return_test,matched_null_mean_test,excess_return_test,p_value_test,fold,train_start,test_start,selected
smc_swing_ob_bullish_formed,1056,0.006468020909305741,0.007183590972775835,-0.0007155700634700942,0.6635815083019511,468,0.010767534346805859,0.012381232658558483,-0.001613698311752624,0.7740244914227561,1,2010-01-05,2013-01-05,False
smc_swing_ob_bullish_mitigated,910,-0.003151612773470031,-0.00702474160906516,0.0038731288355951295,0.016721103170913354,392,-0.015691972799278243,-0.011573487788223522,-0.004118485011054721,0.9585851872915436,1,2010-01-05,2013-01-05,True
ict_bos_bearish,6385,-0.014108158467290752,-0.007207419868223966,-0.006900738599066786,1.0,2456,-0.012474792323321127,-0.005644490607796203,-0.006830301715524924,0.9999999999994332,2,2011-01-05,2014-01-05,False
ict_bos_bullish,14872,0.0038837770885067507,0.008512517339332875,-0.004628740250826125,1.0,5023,0.0019564537741595354,0.009268320027470264,-0.0073118662533107285,1.0,2,2011-01-05,2014-01-05,False
ict_bpr_bearish,4434,-0.010131582531586534,-0.007878796878877464,-0.0022527856527090693,0.9968699407129686,1439,-0.004301309645489499,-0.007483269878940369,0.00318196023345087,0.00431233940939142,2,2011-01-05,2014-01-05,False
ict_bpr_bullish,4551,0.004303923021958985,0.008064969666884964,-0.0037610466449259786,0.9999978793142104,1399,0.009194342585930299,0.007301640702599803,0.0018927018833304957,0.06554229843748886,2,2011-01-05,2014-01-05,False
ict_displacement_bearish,32369,-0.010189908296755677,-0.007825893670414112,-0.0023640146263415648,0.9999999999999999,11313,-0.006137179820859263,-0.007275875463767544,0.0011386956429082808,0.0031632926334497287,2,2011-01-05,2014-01-05,False
ict_displacement_bullish,37468,0.007079690617325699,0.008182792347245256,-0.0011031017299195575,0.9999875166278092,12521,0.00745638661510497,0.008264143594795405,-0.0008077569796904353,0.9816919681722611,2,2011-01-05,2014-01-05,False
ict_fvg_bearish_formed,14816,-0.010173463426043779,-0.0076968596666612986,-0.0024766037593824805,0.9999999844283248,5281,-0.007757617029937473,-0.00681485069265148,-0.0009427663372859928,0.9317770146762047,2,2011-01-05,2014-01-05,False
ict_fvg_bullish_formed,20132,0.004894428715434145,0.00827557713728572,-0.003381148421851575,1.0,6606,0.007685185301563855,0.008425849168294463,-0.0007406638667306073,0.909002933487056,2,2011-01-05,2014-01-05,False
ict_liquidity_buyside_pool_formed,9906,0.008123798562869202,0.007382870312944828,0.0007409282499243747,0.07552346982784112,3118,0.007253136423701454,0.006239126115466868,0.0010140103082345855,0.09131050441508737,2,2011-01-05,2014-01-05,False
ict_liquidity_buyside_swept,7678,0.0061387685818721045,0.007496141980769221,-0.0013573733988971161,0.9898400812811171,2406,0.006605539354907465,0.0067646127631810285,-0.00015907340827356342,0.5733523132616551,2,2011-01-05,2014-01-05,False
ict_liquidity_sellside_pool_formed,8066,-0.01157268861391448,-0.0071030035883764,-0.00446968502553808,0.999999999999975,2418,-0.014329809333729522,-0.005703662065761927,-0.008626147267967595,1.0,2,2011-01-05,2014-01-05,False
ict_liquidity_sellside_swept,4961,-0.013741388486784797,-0.006937284035825286,-0.006804104450959511,1.0,1430,-0.013614870318776033,-0.004903466614018926,-0.008711403704757106,0.9999999999997234,2,2011-01-05,2014-01-05,False
ict_mss_bearish,6416,-0.01186478021709054,-0.007858288535038324,-0.004006491682052216,0.9999999990830858,2128,-0.004599318680277428,-0.007128003276091468,0.0025286845958140403,0.0054290692129842074,2,2011-01-05,2014-01-05,False
ict_mss_bullish,6439,0.006923832623896445,0.007902101008982206,-0.0009782683850857602,0.9289357862415093,2063,0.009757980499265913,0.007291562384842667,0.002466418114423246,0.006971650743565837,2,2011-01-05,2014-01-05,False
ict_nwog_gap_down,25875,-0.007273386108245666,-0.00791484354114545,0.0006414574328997835,0.021094246833095208,6712,-0.0013059900054376242,-0.007131625613999237,0.005825635608561613,1.2223070532843298e-27,2,2011-01-05,2014-01-05,False
ict_nwog_gap_up,23010,0.009431620174957448,0.008017135321984887,0.0014144848529725612,2.0315630993929607e-05,8934,0.008175463494354539,0.00781343420116492,0.00036202929318961824,0.21819241623972008,2,2011-01-05,2014-01-05,True
ict_ob_bearish_formed,3388,-0.009572969409721785,-0.007440966644715478,-0.0021320027650063066,0.9875871970439535,1137,-0.011985105415363765,-0.005909587876883022,-0.006075517538480743,0.9999936086665336,2,2011-01-05,2014-01-05,False
ict_ob_bearish_mitigated,3180,0.00670767385524013,0.007846815787138459,-0.0011391419318983282,0.8789684934511043,1092,0.00714615033694759,0.00838518489952052,-0.0012390345625729292,0.8229917466101966,2,2011-01-05,2014-01-05,False
ict_ob_bullish_formed,5834,0.005812657676577011,0.008512041757648914,-0.0026993840810719026,0.9999524626675452,1998,0.00463299209056548,0.008863373349418177,-0.004230381258852697,0.9999870787469223,2,2011-01-05,2014-01-05,False
ict_ob_bullish_mitigated,2757,-0.00748419619842814,-0.007313688617473121,-0.00017050758095501876,0.5649513640276531,1134,-0.02323624569521251,-0.005571662168233371,-0.017664583526979142,1.0,2,2011-01-05,2014-01-05,False
ict_sweep_buyside_bearish,11229,-0.007522221129435156,-0.00830682639794583,0.0007846052685106745,0.053676581666495145,4373,-0.007024792317909267,-0.008201407059959111,0.0011766147420498446,0.035426850298987324,2,2011-01-05,2014-01-05,False
ict_sweep_sellside_bullish,7508,0.011040576504097037,0.007604365947296658,0.0034362105568003787,7.904428625769707e-09,2713,0.01582692664799378,0.0064985565559096915,0.009328370092084086,1.378486508140338e-26,2,2011-01-05,2014-01-05,True
ict_volume_imbalance_bearish,14494,-0.00883234237799676,-0.007806240339873926,-0.0010261020381228348,0.9913026738998986,4757,-0.008815551275719254,-0.006913354423735,-0.001902196851984254,0.9985958038992255,2,2011-01-05,2014-01-05,False
ict_volume_imbalance_bullish,20569,0.004978304323679197,0.008033034037430073,-0.003054729713750875,1.0,6544,0.004489150737374424,0.007930847910426302,-0.003441697173051878,0.9999999999554854,2,2011-01-05,2014-01-05,False
smc_equal_highs,1984,-0.012033288354015336,-0.007611057615654736,-0.0044222307383606,0.999903992149048,601,-0.0035059410896114717,-0.007892393483788441,0.00438645239417697,0.008887661297863206,2,2011-01-05,2014-01-05,False
smc_equal_lows,1783,0.0075506968278890385,0.007731081370940185,-0.00018038454305114617,0.5557688386314379,550,0.0031444092335789473,0.007394295800449954,-0.004249886566871006,0.9859212529397396,2,2011-01-05,2014-01-05,False
smc_fvg_bearish_formed,8707,-0.010878381010117568,-0.007714881898625952,-0.0031634991114916156,0.9999999695013538,2849,-0.016321602322757915,-0.007070674771966298,-0.009250927550791616,1.0,2,2011-01-05,2014-01-05,False
smc_fvg_bullish_formed,9887,0.004606285328309158,0.008528508626449197,-0.0039222232981400386,0.9999999999995258,2743,0.011968891313077499,0.00909314349932193,0.002875747813755568,0.000925705043802297,2,2011-01-05,2014-01-05,False
smc_internal_bos_bearish,2519,-0.015128911572386446,-0.00721350944861804,-0.007915402123768405,0.9999999999966948,807,-0.010387908618103918,-0.004993511765146077,-0.005394396852957842,0.9990616909295823,2,2011-01-05,2014-01-05,False
smc_internal_bos_bullish,6095,0.003813887623305296,0.008824378181870485,-0.005010490558565188,0.9999999999999456,1988,0.0007957444433728234,0.009270674630613393,-0.008474930187240569,1.0,2,2011-01-05,2014-01-05,False
smc_internal_choch_bearish,4652,-0.010302988917155127,-0.007810821003929614,-0.0024921679132255126,0.999230052274717,1581,-0.005460322098141591,-0.0073087710831464744,0.0018484489850048831,0.05589783258990478,2,2011-01-05,2014-01-05,False
smc_internal_choch_bullish,4621,0.005771051481580269,0.007886998841469933,-0.002115947359889664,0.9962807018435792,1547,0.007646111186740654,0.007674588157964656,-2.8476971224001765e-05,0.5097574340096771,2,2011-01-05,2014-01-05,False
smc_internal_ob_bearish_formed,7171,-0.011998219591890546,-0.00760099980635189,-0.004397219785538656,0.9999999999942425,2388,-0.007125549200993181,-0.0065263530472895615,-0.0005991961537036199,0.7332192242297979,2,2011-01-05,2014-01-05,False
smc_internal_ob_bearish_mitigated,7131,0.010114734514372834,0.007682275937134089,0.0024324585772387457,8.744603387950681e-05,2356,0.00827568930453458,0.006967558770273221,0.0013081305342613602,0.08554778973465471,2,2011-01-05,2014-01-05,True
smc_internal_ob_bullish_formed,10716,0.004657864311350149,0.008420157396876928,-0.003762293085526779,0.9999999999999266,3535,0.003793627711262507,0.00857218926337503,-0.004778561552112522,0.9999999998899118,2,2011-01-05,2014-01-05,False
smc_internal_ob_bullish_mitigated,9568,-0.007719850222560355,-0.00814504937574178,0.0004251991531814244,0.21590057967283804,3308,-0.00663858163346531,-0.007798661585555315,0.0011600799520900054,0.0702838582986156,2,2011-01-05,2014-01-05,False
smc_swing_bos_bearish,109,0.00011176386060258582,-0.005723491353563365,0.005835255214165951,0.17691640407394504,20,0.00842263663589649,0.002488592480323764,0.005934044155572727,0.2978011372559507,2,2011-01-05,2014-01-05,True
smc_swing_bos_bullish,892,0.006463532121624918,0.008734657922646116,-0.002271125801021198,0.9073726385725975,384,0.004999564391433088,0.009031435501508341,-0.004031871110075253,0.9613336299465062,2,2011-01-05,2014-01-05,False
smc_swing_choch_bearish,297,-0.011371350988699213,-0.006403529815064752,-0.004967821173634462,0.9365220835521553,135,-0.024889476970314472,-0.0021491962460865955,-0.022740280724227877,0.9999999943755481,2,2011-01-05,2014-01-05,False
smc_swing_choch_bullish,375,0.0073815572268141946,0.007078853842670635,0.0003027033841435595,0.4594447223818551,107,0.0058582356718959085,0.007204495431952847,-0.0013462597600569382,0.6255035396250208,2,2011-01-05,2014-01-05,False
smc_swing_ob_bearish_formed,406,-0.008288445770536907,-0.0062209579128390145,-0.0020674878576978925,0.760633330445327,155,-0.02059113973080338,-0.0015507718942917102,-0.01904036783651167,0.9999998014394893,2,2011-01-05,2014-01-05,False
smc_swing_ob_bearish_mitigated,406,0.007497752356736707,0.006350328490957709,0.0011474238657789978,0.3472920498032521,150,0.027433645724360845,0.0024400038769929844,0.02499364184736786,1.0568676097836243e-11,2,2011-01-05,2014-01-05,False
smc_swing_ob_bullish_formed,1267,0.006735244366649369,0.008244581734808057,-0.001509337368158688,0.844050092225477,491,0.005186688275362867,0.008633303958855722,-0.0034466156834928553,0.95709449144066,2,2011-01-05,2014-01-05,False
smc_swing_ob_bullish_mitigated,1135,-0.006182260324574494,-0.007912077572427997,0.0017298172478535032,0.13718164957988643,455,-0.005995815598664097,-0.008080590117080693,0.0020847745184165954,0.16521798410766558,2,2011-01-05,2014-01-05,True
ict_bos_bearish,6292,-0.014575930860693165,-0.00881658003967776,-0.005759350821015405,1.0,2890,-0.009769090132696194,0.0012404124906160864,-0.01100950262331228,1.0,3,2012-01-05,2015-01-05,False
ict_bos_bullish,15890,0.005766131537541325,0.009938831715441212,-0.004172700177899887,1.0,3897,-0.00387045989256671,0.004947264232870014,-0.008817724125436724,1.0,3,2012-01-05,2015-01-05,False
ict_bpr_bearish,4277,-0.00891987594947095,-0.009557793181049308,0.0006379172315783572,0.19266163738985664,1648,-0.003478406501773785,-0.002089884071387257,-0.0013885224303865282,0.8749649195601776,3,2012-01-05,2015-01-05,False
ict_bpr_bullish,4397,0.009260188142463011,0.009682045986635976,-0.00042185784417296535,0.7170938076376245,1687,-0.0022708510881436976,0.002275631214988661,-0.004546482303132359,0.9999150276524071,3,2012-01-05,2015-01-05,False
ict_displacement_bearish,31947,-0.009798970645245599,-0.009473282483706122,-0.0003256881615394773,0.8966486255636475,11735,-0.004946662647154627,-0.0015619434821046408,-0.0033847191650499863,0.9999999999999934,3,2012-01-05,2015-01-05,False
ict_displacement_bullish,38175,0.008842392748453304,0.00968535858923801,-0.0008429658407847068,0.9998833762457845,11840,-0.002724702826572016,0.002786823355967878,-0.005511526182539894,1.0,3,2012-01-05,2015-01-05,False
ict_fvg_bearish_formed,14472,-0.011110041099986484,-0.009405305642689796,-0.0017047354572966873,0.9999910558124872,5772,-0.007730655924320906,-0.0008832463132969274,-0.006847409611023978,1.0,3,2012-01-05,2015-01-05,False
ict_fvg_bullish_formed,20674,0.008209999846538115,0.009792667675332822,-0.0015826678287947076,0.9999995217035905,6222,-0.0022891448405469557,0.0030616764055136003,-0.005350821246060556,1.0,3,2012-01-05,2015-01-05,False
