signal,cost_bps,n_trades,mean_net_return
ict_sweep_sellside_bullish,20.0,49304,0.00621613475931871
ict_volume_imbalance_bearish,20.0,84642,-0.011396932687033534
ict_volume_imbalance_bullish,20.0,117546,0.0030128544465555605
smc_equal_highs,20.0,10483,-0.009534187906091424
smc_equal_lows,20.0,9341,0.003974045072359006
smc_fvg_bearish_formed,20.0,67673,-0.012898351237571173
smc_fvg_bullish_formed,20.0,68004,0.0045334826287078194
smc_internal_bos_bearish,20.0,16549,-0.012346679410685289
smc_internal_bos_bullish,20.0,31944,0.002209534003670597
smc_internal_choch_bearish,20.0,26315,-0.009668395934575993
smc_internal_choch_bullish,20.0,26396,0.004395166219152226
smc_internal_ob_bearish_formed,20.0,42864,-0.010702431797914289
smc_internal_ob_bearish_mitigated,20.0,38121,0.005010092609640467
smc_internal_ob_bullish_formed,20.0,58340,0.003198425809633111
smc_internal_ob_bullish_mitigated,20.0,39612,-0.009923058038399074
smc_swing_bos_bearish,20.0,1245,-0.009586857160545147
smc_swing_bos_bullish,20.0,4576,0.0041220591295340805
smc_swing_choch_bearish,20.0,2653,-0.005683011440427951
smc_swing_choch_bullish,20.0,2699,0.005339301226392546
smc_swing_ob_bearish_formed,20.0,3898,-0.006929878531640344
smc_swing_ob_bearish_mitigated,20.0,3356,0.0045496313240758045
smc_swing_ob_bullish_formed,20.0,7275,0.00457365176450604
smc_swing_ob_bullish_mitigated,20.0,3405,-0.012515017326172648
ict_bos_bearish,40.0,42496,-0.01598804744766391
ict_bos_bullish,40.0,80739,0.00035209613593368324
ict_bpr_bearish,40.0,26182,-0.011852787976803088
ict_bpr_bullish,40.0,26830,0.0021906684845690557
ict_displacement_bearish,40.0,190415,-0.013015994204249776
ict_displacement_bullish,40.0,212461,0.0016631236355506953
ict_fvg_bearish_formed,40.0,90730,-0.012777823080069976
ict_fvg_bullish_formed,40.0,112181,0.0016419965023506157
ict_liquidity_buyside_pool_formed,40.0,58941,0.0034293430878938993
ict_liquidity_buyside_swept,40.0,44261,0.002416726732818477
ict_liquidity_sellside_pool_formed,40.0,51635,-0.012229674778572293
ict_liquidity_sellside_swept,40.0,32884,-0.012845383052689235
ict_mss_bearish,40.0,36553,-0.012462370119570873
ict_mss_bullish,40.0,36506,0.0027595233126525816
ict_nwog_gap_down,40.0,130643,-0.011314332473051955
ict_nwog_gap_up,40.0,147321,0.0036672287612617973
ict_ob_bearish_formed,40.0,22431,-0.012674436595598117
ict_ob_bearish_mitigated,40.0,20124,0.002839692640547142
ict_ob_bullish_formed,40.0,32541,0.0015280233880096052
ict_ob_bullish_mitigated,40.0,20562,-0.013388512304144128
ict_sweep_buyside_bearish,40.0,65448,-0.009924371965095585
ict_sweep_sellside_bullish,40.0,49304,0.00421613475931871
ict_volume_imbalance_bearish,40.0,84642,-0.013396932687033535
