signal,n_configs,mean_excess,median_excess,std_excess,min_excess,max_excess,sign_consistency,coefficient_of_variation,responds_to_sweep,swept_range_bps
smc_internal_choch_bearish,16,-5.0713106236772824e-05,-5.0713106236772824e-05,0.0,-5.0713106236772824e-05,-5.0713106236772824e-05,1.0,0.0,False,0.0
ict_liquidity_buyside_swept,16,-0.00036263565258290746,-0.0003920992685732855,0.00031110863687961224,-0.0007545197423901948,8.817566920513598e-05,0.75,0.8579096805945884,True,8.426954115953308
ict_nwog_gap_down,16,-0.0005185703297956677,-0.0005185703297956677,0.0,-0.0005185703297956677,-0.0005185703297956677,1.0,0.0,False,0.0
smc_fvg_bullish_formed,16,-0.0005844099253412656,-0.0005844099253412656,0.0,-0.0005844099253412656,-0.0005844099253412656,1.0,0.0,False,0.0
smc_internal_ob_bearish_mitigated,16,-0.0006066606525897567,-0.0006066606525897567,0.0,-0.0006066606525897567,-0.0006066606525897567,1.0,0.0,False,0.0
ict_ob_bearish_formed,16,-0.0009936613558658544,-0.0008221341248991617,0.0009096990067623522,-0.0023869963274036387,5.6619153738544405e-05,0.75,0.915502048451568,True,24.43615481142183
ict_ob_bearish_mitigated,16,-0.001044465874417954,-0.000985293139692857,0.0004217022408496273,-0.0015952055552910715,-0.00061207166299503,1.0,0.40374918049345354,True,9.831338922960414
ict_liquidity_sellside_pool_formed,16,-0.0012794934112003605,-0.001112875894459701,0.0007538144784747378,-0.0024071456680121997,-0.00048507618786984043,1.0,0.5891507309658942,True,19.220694801423594
ict_fvg_bearish_formed,16,-0.0013103072498077254,-0.001269526517098532,0.0002671829235564349,-0.001686954777227032,-0.0010152211878068059,1.0,0.20390860509673694,True,6.71733589420226
smc_internal_ob_bullish_mitigated,16,-0.0013583439171114976,-0.0013583439171114976,0.0,-0.0013583439171114976,-0.0013583439171114976,1.0,0.0,False,0.0
ict_mss_bearish,16,-0.0016474625996226867,-0.001461959615126344,0.00040115457500839504,-0.0023110145564710196,-0.0013549166117670392,1.0,0.2434984412394371,True,9.560979447039804
smc_swing_choch_bullish,16,-0.0019799141162474805,-0.0019799141162474805,0.0,-0.0019799141162474805,-0.0019799141162474805,1.0,0.0,False,0.0
ict_displacement_bearish,16,-0.0019952422432403666,-0.0019779503457386044,0.00015190833819776466,-0.0021966823632022445,-0.0018283859182820121,1.0,0.07613528568393702,True,3.6829644492023235
ict_mss_bullish,16,-0.0020901163802541653,-0.0019924941264303,0.0005453424236694085,-0.0028601733842110342,-0.0015153038839450274,1.0,0.260914860445758,True,13.448695002660068
ict_displacement_bullish,16,-0.002189990683751258,-0.002214029553258533,0.00016628946892065436,-0.0023756621087189294,-0.001956241519769036,1.0,0.07593158735991305,True,4.194205889498934
smc_internal_ob_bullish_formed,16,-0.002344828023473156,-0.002344828023473156,0.0,-0.002344828023473156,-0.002344828023473156,1.0,0.0,False,0.0
ict_bpr_bullish,16,-0.0023707350589992483,-0.0023755628607611493,8.18220364567825e-05,-0.0024652533918356227,-0.002266561122639072,1.0,0.034513361645447556,True,1.9869226919655079
smc_internal_ob_bearish_formed,16,-0.0023869963274036387,-0.0023869963274036387,0.0,-0.0023869963274036387,-0.0023869963274036387,1.0,0.0,False,0.0
ict_fvg_bullish_formed,16,-0.0025007585839255074,-0.002564415126516716,0.00017409842488280884,-0.0026544282014481953,-0.0022197758812204016,1.0,0.0696182454403583,True,4.346523202277937
ict_volume_imbalance_bearish,16,-0.0025412157087679388,-0.0025412157087679388,0.0,-0.0025412157087679388,-0.0025412157087679388,1.0,0.0,False,0.0
smc_equal_lows,16,-0.00262050862856175,-0.00262050862856175,0.0,-0.00262050862856175,-0.00262050862856175,1.0,0.0,False,0.0
ict_ob_bullish_mitigated,16,-0.0028653520888568687,-0.003121157086101376,0.000955987861334038,-0.0038673972518548537,-0.0013516969313698704,1.0,0.3336371348749078,True,25.157003204849833
ict_ob_bullish_formed,16,-0.002901457611857403,-0.002787673374064086,0.0005029685804146643,-0.0036712736036354386,-0.002359210095666,1.0,0.17335031136046233,True,13.120635079694386
ict_volume_imbalance_bullish,16,-0.002981997350039685,-0.002981997350039685,0.0,-0.002981997350039685,-0.002981997350039685,1.0,0.0,False,0.0
ict_bos_bullish,16,-0.0034187811407436924,-0.003394359615698105,0.0002691857840567438,-0.003792657163908985,-0.0030937481676695747,1.0,0.07873735491538,True,6.989089962394102
ict_liquidity_sellside_swept,16,-0.0034861264361727732,-0.00350085747706668,0.0008894224582950926,-0.004668707378539247,-0.002274083412018486,1.0,0.25513201387828627,True,23.946239665207614
smc_fvg_bearish_formed,16,-0.0041614177766649725,-0.0041614177766649725,0.0,-0.0041614177766649725,-0.0041614177766649725,1.0,0.0,False,0.0
smc_internal_bos_bullish,16,-0.004854754883838899,-0.004854754883838899,0.0,-0.004854754883838899,-0.004854754883838899,1.0,0.0,False,0.0
smc_swing_ob_bullish_mitigated,16,-0.005891418569597795,-0.005891418569597795,0.0,-0.005891418569597795,-0.005891418569597795,1.0,0.0,False,0.0
smc_internal_bos_bearish,16,-0.005940465272575376,-0.005940465272575376,0.0,-0.005940465272575376,-0.005940465272575376,1.0,0.0,False,0.0
ict_bos_bearish,16,-0.006598354051994488,-0.006512828539577464,0.00046041500190628306,-0.007302617694360167,-0.0060651414344628585,1.0,0.06977725024729661,True,12.374762598973089
