signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.sweep_penetration_atr,ict.sweep_confirm_bars,ict.gap_min_atr
ict_sweep_sellside_bullish,2994,0.008888587380150864,0.0019965831147496123,0.03593315470761973,0.25,3,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,0.25,6,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,0.25,6,0.05
ict_sweep_buyside_bearish,4055,-0.006205914049214199,0.0006084937803184443,0.25679343488536704,0.25,6,0.05
ict_sweep_sellside_bullish,3052,0.009140187576612174,0.002252045399303736,0.020068592000711677,0.25,6,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,0.25,6,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,0.25,6,0.1
ict_sweep_buyside_bearish,4055,-0.006205914049214199,0.0006084937803184443,0.25679343488536704,0.25,6,0.1
ict_sweep_sellside_bullish,3052,0.009140187576612174,0.002252045399303736,0.020068592000711677,0.25,6,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,0.25,6,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,0.25,6,0.25
ict_sweep_buyside_bearish,4055,-0.006205914049214199,0.0006084937803184443,0.25679343488536704,0.25,6,0.25
ict_sweep_sellside_bullish,3052,0.009140187576612174,0.002252045399303736,0.020068592000711677,0.25,6,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,0.5,1,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,0.5,1,0.05
ict_sweep_buyside_bearish,2404,-0.005915430948158532,0.0008683634268955983,0.23857090978583556,0.5,1,0.05
ict_sweep_sellside_bullish,1793,0.009043120609333707,0.002160043148907685,0.06700270852228057,0.5,1,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,0.5,1,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,0.5,1,0.1
ict_sweep_buyside_bearish,2404,-0.005915430948158532,0.0008683634268955983,0.23857090978583556,0.5,1,0.1
ict_sweep_sellside_bullish,1793,0.009043120609333707,0.002160043148907685,0.06700270852228057,0.5,1,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,0.5,1,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,0.5,1,0.25
ict_sweep_buyside_bearish,2404,-0.005915430948158532,0.0008683634268955983,0.23857090978583556,0.5,1,0.25
ict_sweep_sellside_bullish,1793,0.009043120609333707,0.002160043148907685,0.06700270852228057,0.5,1,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.8296512605209805,0.5,3,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.3242201117468405,0.5,3,0.05
ict_sweep_buyside_bearish,2667,-0.006430246303268236,0.0003799658389033794,0.371644613915955,0.5,3,0.05
ict_sweep_sellside_bullish,2022,0.009294724292266306,0.0023889225836689664,0.03960159736843628,0.5,3,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,0.5,3,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,0.5,3,0.1
ict_sweep_buyside_bearish,2667,-0.006430246303268236,0.0003799658389033794,0.371644613915955,0.5,3,0.1
ict_sweep_sellside_bullish,2022,0.009294724292266306,0.0023889225836689664,0.03960159736843628,0.5,3,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.6364984230547531,0.5,3,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5728025654279522,0.5,3,0.25
