combination,n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_value_vs_matched_random_srs,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,p_adj_vs_matched_random,reject_vs_matched_random,low_sample_warning,beats_matched_random,statistically_significant
ict_displacement_bearish+ict_ob_bearish_formed,10425,0.4294484412470024,-0.008570043618431906,-0.008873294043997948,0.07257089198974037,0.41471665798297735,6.349636549224732,0.7132781876497806,-0.5928172625087015,-0.870666502337332,-0.008570043618431913,-1.0,-0.9956487028228834,-0.24773116103926368,-0.24773116103926368,0.9458862184669973,2.508415468328663e-34,-0.11809202537628291,1.0,-0.23454154691396523,-0.00701180184808184,-0.001558241770350066,0.6634685217729515,0.9952762545686015,4.1806924472144385e-34,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+ict_ob_bullish_formed,14204,0.5646296817797803,0.005641672885509849,0.006482791027410562,0.056972382285621355,0.6770256680662043,10.680517914068956,1.3307268173574405,0.4971000330395363,0.7233931531586559,0.005641672885509846,-0.8624977824343794,-0.28994835410533093,0.12400633858988352,0.10695519204158134,1.0222703144313205,6.065208850406912e-32,0.09902469686498769,0.9999017910566922,-0.03041442304410642,0.007233726439135237,-0.0015920535536253881,0.9054412971644779,0.9990729692967469,9.835473811470667e-32,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bearish+smc_internal_ob_bullish_mitigated,12232,0.4260137344669719,-0.008606305802111,-0.010163716844445947,0.0825653439283078,0.7982904187434566,9.152840959378752,0.7330448018666733,-0.5232620635849486,-0.786095128000745,-0.008606305802111,-1.0,-0.9956465243086103,-0.2627429714438584,-0.2627429714438584,0.9854114060786886,8.096703067762752e-28,-0.10423629809601387,1.0,-0.21774882447709515,-0.0069612664152760104,-0.0016450393868349903,0.6248888356402219,0.9985892717121977,1.1848833757701588e-27,True,1.0,False,0.9995462817276003,False,False,False,False
ict_ob_bullish_formed+smc_internal_ob_bullish_formed,23334,0.5629553441330247,0.005401226510300428,0.006384997803318693,0.05644247154975927,0.5178254737795399,8.665114745322775,1.3143053795134967,0.48038190299026146,0.6958401604757873,0.0054012265103004255,-0.9099597031923415,-0.2649269453386901,0.11092808928870573,0.10094009120484423,1.0153449293013828,1.7499957300694287e-48,0.09569436564340997,0.9999999495669442,-0.0345217024564941,0.007203613593385282,-0.001802387083084854,0.9338827693516946,0.9999972850855086,5.526302305482407e-48,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bearish+smc_internal_ob_bearish_formed,19688,0.4276716781796018,-0.009085798054966288,-0.008894333820720801,0.06944009979267184,0.18875389178726554,5.584171730640936,0.6899008203964838,-0.6568300504562559,-0.9406901824834447,-0.009085798054966288,-1.0,-0.9971142630830974,-0.25372643471724504,-0.25372643471724504,0.9213699198763017,2.545509373087132e-75,-0.13084367796264504,1.0,-0.2480301956245658,-0.007056763390809061,-0.0020290346641572265,0.7689680728473877,0.9999983062364478,1.909132029815349e-74,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+smc_internal_ob_bullish_formed,25414,0.5560714566774219,0.005056386416171639,0.005723027800780822,0.05717729789874546,0.5632433270128447,8.143769576879993,1.2875100264936559,0.44393245731329234,0.6541441912085308,0.005056386416171638,-0.9602419848356344,-0.3110800636543809,0.09414243230218691,0.0903995160511063,1.0241225734372479,3.919167258848658e-45,0.08843346226549441,0.9999999999066973,-0.04000445069515924,0.007224327631133161,-0.002167941214961522,0.9573619380652153,0.9999999929185193,1.1197620739567594e-44,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+ict_nwog_gap_up,15139,0.5624545874892661,0.0052261482388993195,0.006717383142709421,0.06639192923927541,-0.02649313144513923,7.499699589597469,1.2579478092728456,0.39515429429412113,0.5191223313321283,0.005226148238899313,-0.9864646465265788,-0.4545618157163708,0.07901347901112012,0.07794400364353986,0.9748910855421619,2.154935846413407e-21,0.07871661960694602,0.9999766733693773,-0.034631398095711585,0.0074736879335884085,-0.002247539694689089,0.7663586041758695,0.9999948104244107,2.5859230156960883e-21,True,1.0,False,0.9995462817276003,False,False,False,False
ict_bpr_bearish+smc_fvg_bearish_formed,15972,0.43413473578762835,-0.009342790820389637,-0.008419104267534672,0.06803758524343409,-0.3594749863262282,6.806555019442751,0.680934838554951,-0.6893313089571056,-0.9375472068697138,-0.009342790820389631,-1.0,-0.9963806092830079,-0.2596707210910082,-0.2596707210910082,0.8859812681630759,2.1739612414291903e-65,-0.13731808362924308,1.0,-0.2546414660907147,-0.007001123940858763,-0.0023416668795308735,0.8102286539574766,0.9999995960834114,1.1857970407795583e-64,True,1.0,False,0.9995462817276003,False,False,False,False
ict_ob_bullish_formed+smc_internal_bos_bullish,12555,0.5565909996017523,0.004881480387379814,0.005362874500732362,0.05395851915015012,0.8080283428360558,11.581634625222314,1.295547099324617,0.4541421345236531,0.677702479530233,0.004881480387379816,-0.8950262090247603,-0.28374683187912114,0.10132296995116308,0.09068671368251918,1.0269083261532703,1.2659511189643964e-23,0.09046727864780983,0.9999999111826211,-0.043964219416421084,0.007253824998738662,-0.0023723446113588483,0.9815687725979417,0.9999943039402115,1.5501442273033424e-23,True,1.0,False,0.9995462817276003,False,False,False,False
ict_fvg_bullish_formed+ict_volume_imbalance_bullish,19912,0.5551426275612696,0.004794590911053535,0.005850671208456282,0.0570852723596934,0.6136355438726985,11.537996657499558,1.2732292801850962,0.4216263557702994,0.609435456462618,0.004794590911053536,-0.9316183075801308,-0.3450073844075239,0.0894510465712966,0.0833342326180228,1.016602282152493,3.407170152477342e-31,0.08398998047767721,0.999999999881682,-0.04434723518065071,0.007195831429416754,-0.0024012405183632185,0.9636649114474383,0.9999999900130216,5.241800234580526e-31,True,1.0,False,0.9995462817276003,False,False,False,False
ict_bos_bullish+ict_displacement_bullish,33987,0.5567128607997175,0.004836649851757365,0.005401913546781101,0.05534646971951477,0.8991456238749964,12.299863030589027,1.28955609017366,0.4386872312342483,0.6484099325273666,0.004836649851757361,-0.8669518996768344,-0.3117052358251291,0.10097103184913842,0.0875370278739407,1.022798385140115,1.980356527697643e-53,0.08738858822014436,0.9999999999999998,-0.0442453380933743,0.00727917471523123,-0.002442524863473865,0.982995498831398,0.9999999999999494,6.989493627168152e-53,True,1.0,False,0.9995462817276003,False,False,False,False
ict_bos_bullish+ict_ob_bullish_formed,12256,0.5527904699738904,0.004255304151143566,0.005385194194522547,0.05565177438693201,0.5647648878474324,10.136940268453532,1.2447254962317094,0.38384144152381355,0.5506625574735032,0.004255304151143568,-0.8914837725047724,-0.3382422069522987,0.07948452336434164,0.070859162744587,1.0022107132020628,2.776153935211881e-17,0.07646304539290277,0.9999999997518599,-0.05382824446417746,0.007173633970837903,-0.0029183298196943366,0.9919122656715584,0.9999999515412848,2.922267300223033e-17,True,1.0,False,0.9995462817276003,False,False,False,False
ict_displacement_bullish+smc_internal_bos_bullish,13735,0.5471423370950127,0.004363721225308072,0.004476545204397775,0.05485794521286317,1.0243474614954933,11.28343055800684,1.2595057550362112,0.3993169378094913,0.6158225436445672,0.004363721225308075,-0.8929415312946829,-0.31810869736982544,0.08467652713182101,0.07561118780180402,1.0377724065448064,3.255496937647248e-20,0.0795458380436178,0.9999999999344888,-0.05234137650276559,0.007300407728543532,-0.0029366865032354602,0.9943837888011018,0.9999999911889544,3.7563426203622086e-20,True,1.0,False,0.9995462817276003,False,False,False,False
