n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,ticker,signal_frequency,baseline_avg_return,excess_return_vs_baseline,p_value_vs_baseline,effect_size_vs_baseline,eligible,p_adjusted_vs_baseline,significant_vs_baseline
9245,0.5136830719307733,0.001281278776159098,0.0013775337854435854,0.08596066612778205,1.0571796307549322,0.07482455289017512,0.08823231832231405,0.001130755098110895,-1.0,-0.9636429769325585,-0.1028547574303359,0.994180718246268,PCG,9245,-0.0037175431836705595,0.004998821959829657,0.8388060674347061,0.036941623281448586,True,0.9963579652345987,False
9332,0.531504500642949,0.0024393419656814175,0.002948939332923839,0.04663168467070602,1.1492483633948343,0.26259826486793736,0.4013539709041942,0.002435602734614694,-0.999895641557902,-0.7570392068032337,0.034604098426818025,1.0127751202416977,APD,9332,-0.002236722924987195,0.004676064890668612,0.477351180637744,0.10141016445711547,True,0.9963579652345987,False
9221,0.5246719444745689,0.00160360185175437,0.002628010186984442,0.04750109305022569,1.0955624271050983,0.16947015089782602,0.24413253956210074,0.0015575327422980186,-0.9999891103800236,-0.8287006629371195,0.011827653447970337,0.989810535112936,BF-B,9221,-0.002893944587642252,0.004497546439396622,0.4681470410064994,0.09935773042842064,True,0.9963579652345987,False
9309,0.5318508969814159,0.005128820598845199,0.005396842403212476,0.07387797166103816,1.1993685123630362,0.34850002634125143,0.5466077878313402,0.004998295404916166,-0.9999997927395182,-0.84969685716372,0.06181547017331748,1.0503861582722933,STLD,9309,0.000655381848648757,0.004473438750196442,0.6474971008748631,0.06307092191704948,True,0.9963579652345987,False
9411,0.5018595260864945,0.00045605183076905404,0.00045680535116843224,0.08820681288367584,1.014977204762565,0.025954480681804434,0.0411700716582754,0.00041051709350424515,-1.0,-0.9705701896753886,-0.08062819522578282,1.0059513647032747,EQT,9411,-0.003751419290573514,0.004207471121342568,0.651243457976813,0.054470270379199326,True,0.9963579652345987,False
8907,0.5414842258897496,0.0040045637128073575,0.0043418993649722015,0.04987004390664649,1.2425999133847658,0.4031027189572933,0.6174483036480427,0.003972165550419092,-0.9999997876785512,-0.7334143922328124,0.07200146443954648,1.0501424936670756,CASY,8907,-0.0002008384003064005,0.004205402113113758,0.5381888093159082,0.08649263749924553,True,0.9963579652345987,False
9206,0.5330219422116012,0.001977681876007769,0.0027274239989640847,0.04107133635478986,1.1414042117491638,0.2417229412595411,0.3361037481701641,0.0019385327698404637,-0.9999921995317504,-0.7934528642581262,0.028694184469261055,0.9971876616606208,HSY,9206,-0.002098316048242567,0.004075997924250336,0.5065634295026016,0.09749237904785006,True,0.9963579652345987,False
1901,0.4950026301946344,-0.00016174350844824377,-0.00014075483576858616,0.06080795476812025,0.9929975952621396,-0.013352627489550281,-0.02001493218143931,-0.0002826769139371993,-0.9963134197519243,-0.806319684835704,-0.050039754656305516,1.007771204543404,GEHC,1901,-0.0040074074913368255,0.0038456639828885818,0.530941981973316,0.073602386810307,True,0.9963579652345987,False
9317,0.5501770956316411,0.0033630142393256107,0.00527928604157446,0.05668980284655066,1.1745153979358505,0.2977995450425005,0.41236374705437867,0.003353813672382841,-0.9999997234463561,-0.8191585234675636,0.044567551459616106,0.9598214986252981,INTU,9317,-0.00047007913306431205,0.003833093372389923,0.5851195972331135,0.07256556819483422,True,0.9963579652345987,False
1211,0.48307184145334436,0.0016839823741747581,-0.0027373927587036606,0.06357463351511822,1.071458378141982,0.13297008507567,0.22984174309822422,0.001646276903259563,-0.9939860897756764,-0.7333433117123923,-0.008119338732896126,1.1447204894679295,SOLV,1211,-0.0020981480785184337,0.003782130452693192,0.6725615589213727,0.06042702840202147,True,0.9963579652345987,False
9293,0.5285698913160444,0.0031673172619596304,0.0030780045087466235,0.06065746819746939,1.1512454965714916,0.26212446610591,0.3989330059011633,0.00311460394270361,-0.9999896782452823,-0.799360331962199,0.0338566107099584,1.0242147434888882,STT,9293,-0.0005825399787415174,0.003749857240701148,0.6313573532076269,0.06520243966473731,True,0.9963579652345987,False
3492,0.5280641466208477,0.00563958403323983,0.004025164085487809,0.06769693227085595,1.244712247783575,0.4181945357299062,0.7235573719786274,0.005625591454260569,-0.9993087574737435,-0.7991790498161044,0.08877571341905058,1.1117359393164579,CARR,3492,0.001893449137743323,0.0037461348954965067,0.6947881076301666,0.05605211870421014,True,0.9963579652345987,False
9359,0.5480286355379849,0.0040418894294171216,0.006051259946347365,0.055283128416135065,1.2116847390218657,0.3670219917883961,0.5486659122653731,0.003987568205091854,-0.9999978797494963,-0.760383666302301,0.06496833305458102,0.9964683620967497,ETN,9359,0.0004927757090340885,0.003549113720383033,0.584163577908682,0.07046724900758956,True,0.9963579652345987,False
9007,0.5301432219384923,0.0035637547166213986,0.004219961586406917,0.06621472642836944,1.1538317781310723,0.2701801798421615,0.40906590247533764,0.0035418374314821963,-0.999999813903865,-0.8424527061927964,0.03478072367131735,1.0216546089922878,FFIV,9007,0.00018640638267737003,0.0033773483339440287,0.6835330425772354,0.05448800731129494,True,0.9963579652345987,False
9234,0.5083387481048299,0.0015324391373084693,0.0006641241713361001,0.036494322167678735,1.1176802390453096,0.2107939799607317,0.33942924778044614,0.0014690293717746824,-0.9996701318701623,-0.7080507256005703,0.02213044799890785,1.0757731827879653,VZ,9234,-0.0017492056902707939,0.003281644827579263,0.43188227796735673,0.0997445328260626,True,0.9963579652345987,False
9423,0.5480208001697973,0.004977376999381461,0.005582151467342422,0.06065186479965848,1.2602288794110412,0.411961517041043,0.579265291377761,0.004954895899054342,-0.9999774429599426,-0.737044504639925,0.08151240696239173,1.0381513658045254,PH,9423,0.0018729134452732036,0.003104463554108257,0.656424882502598,0.05660074384712899,True,0.9963579652345987,False
9374,0.5386174525282696,0.0017141272008308567,0.005079302439100042,0.05058364429928365,1.0923957127559445,0.17011131513316866,0.24048668912843993,0.001684052132093352,-0.9999999066487506,-0.8480398229773061,0.0103511061267269,0.9342374109091242,DLR,9374,-0.0013714553737755263,0.003085582574606383,0.6444233253737687,0.06359441455264493,True,0.9963579652345987,False
6074,0.49736582153440895,-0.0008181918994547973,-0.00021985752678943538,0.0496300535014811,0.9556288877275505,-0.08275813641273477,-0.11330001367856694,-0.000848440821422599,-0.9999998259404603,-0.922397051153745,-0.051164084407485724,0.9641697615999913,KHC,6074,-0.003874181381552395,0.003055989482097598,0.7447267179103646,0.052415841799847325,True,0.9963579652345987,False
