combination,n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,p_value,effect_size_cohens_d,p_value_vs_baseline,effect_size_vs_baseline,p_adjusted_vs_zero,significant_vs_zero,p_adjusted_vs_baseline,significant_vs_baseline,low_sample_warning,statistically_significant
ict_displacement_bullish+ict_mss_bullish,16115,0.5642569035060503,0.006140093321310232,0.007549487046539349,0.061797836043199064,1.32673922946784,0.49877189591603555,0.7175319580636716,0.006059463903037857,-0.8466252766381863,-0.2743644740393138,0.11258455380726001,1.0201870331506806,2.659176542059697e-36,0.09935773992180034,0.25809667276610326,-0.01146897151539936,4.8348664401085394e-36,True,0.2978038531916576,False,False,False
ict_ob_bullish_formed+smc_internal_choch_bullish,10867,0.5689702769853685,0.005840818396323703,0.0075592397573480685,0.059209512380146476,1.3241413940982536,0.49520211310716594,0.6972118142818822,0.005748014858474856,-0.9136023303602302,-0.2698294421343363,0.10835306060798847,0.9979781491990719,1.086206557982331e-24,0.09864662216475517,0.14503564107977843,-0.016654454897942695,1.551723654260473e-24,True,0.17404276929573412,False,False,False
ict_displacement_bullish+ict_ob_bullish_formed,14270,0.564260686755431,0.005592837363659568,0.006426202439304696,0.05691362069071257,1.3281320423613094,0.4933058273529002,0.7169984831919516,0.005529556838579846,-0.8705590248349038,-0.2972550982963769,0.10568645122088462,1.0218303530089805,1.125930881250503e-31,0.09826887300059323,0.04239231361774845,-0.02113821352982212,1.930167225000862e-31,True,0.0565230848236646,False,False,False
ict_displacement_bullish+smc_internal_choch_bullish,11757,0.5648549800119078,0.005757734863912874,0.00722218526291174,0.05979153949253324,1.3106953259102956,0.48340617869045804,0.6846984680417897,0.005710524784985838,-0.8680795103357586,-0.2691327364041064,0.10489767218990581,1.0071492618762594,2.071168023945398e-25,0.09629681578330826,0.10765793312872858,-0.01794217241642106,3.0309775960176557e-25,True,0.13182604056579011,False,False,False
ict_ob_bullish_formed+smc_internal_ob_bullish_formed,23490,0.5621966794380587,0.00532346539734199,0.006313772545803564,0.056408991335525176,1.309624555438692,0.473746889828366,0.6848484627595144,0.005232709017192732,-0.9156724373996096,-0.2720496998199864,0.09883115270531832,1.0144978950581418,3.265999853116776e-47,0.09437263938434201,0.004723323364331874,-0.025775075757562396,9.331428151762218e-47,True,0.006440895496816193,True,False,True
ict_fvg_bullish_formed+smc_fvg_bullish_formed,54883,0.5543610954211686,0.005946758938361557,0.006293152243914246,0.06432117165620203,1.302867944578096,0.464116125037805,0.6762037600865796,0.0058774747225823765,-0.9882885780711468,-0.3874841902056087,0.10276674685706794,1.0436646687019673,1.3504056073733321e-103,0.09245414511643388,0.060727493870876316,-0.014301480962969399,1.0128042055299991e-102,True,0.07752446026069316,False,False,False
ict_ob_bullish_formed+smc_internal_bos_bullish,12623,0.556365364810267,0.00487808196710082,0.005362873904537935,0.05387997939483756,1.2959616010933237,0.45448749986949827,0.677276283018781,0.0047893091943418085,-0.8979067341066123,-0.2840214562940854,0.09069939954210053,1.0278379778000588,3.2809991870779546e-24,0.09053607707148097,0.0015147553283422325,-0.03398259018638687,4.374665582770606e-24,True,0.0021639361833460467,True,False,True
ict_displacement_bullish+smc_internal_ob_bullish_formed,25573,0.5557814882884292,0.0050069413584636355,0.005638450193554245,0.05711293691479141,1.2849090226608384,0.44008673860459396,0.6478467979942822,0.004944843036247804,-0.9606290965387715,-0.31662617084351136,0.08914306437881452,1.023370867270857,1.7341298864902306e-44,0.0876673767614796,0.0005429188781547437,-0.030946495359342015,4.1619117275765535e-44,True,0.0008143783172321155,True,False,True
ict_bos_bullish+ict_displacement_bullish,34179,0.5568331431580795,0.004806443790873142,0.0053976201382377464,0.05529853230900028,1.2878310167187892,0.4363254381294265,0.6446341593292005,0.0047411447785710645,-0.8640597783012698,-0.31400696912559517,0.08677994468040943,1.0209538871507509,6.857891959562534e-58,0.08691810777210907,3.762558524244447e-05,-0.0348192315154567,2.57170948483595e-57,True,6.270930873740745e-05,True,False,True
ict_volume_imbalance_bullish+smc_fvg_bullish_formed,10325,0.5484745762711865,0.0055899880093703445,0.005482411663045195,0.0649416098782267,1.283421849745349,0.43210381063987247,0.6212901247391657,0.005522064780096345,-0.9071086875399597,-0.3301953743152215,0.09163445181288796,1.0529362376685312,2.543991210914492e-18,0.08607713944653116,0.09379675324423024,-0.019855971541913042,3.05278945309739e-18,True,0.1172459415552878,False,False,False
